2012/10/31 09:13:08,1,8260
2012/10/31 09:40:16,2,8845
2012/11/01 20:34:23,3,8903
2012/11/01 20:34:36,4,9001
2012/11/01 20:34:49,5,9103
2012/11/01 20:35:21,6,9314
2012/11/01 20:35:50,7,9399
2012/11/01 20:36:10,8,10248
2012/11/01 20:36:40,9,10318
2012/11/01 20:36:48,10,11273
2012/11/01 20:37:06,11,11391
2012/11/01 20:37:27,12,11485
2012/11/01 20:37:27,13,11494
2012/11/01 20:37:30,14,11498
2012/11/01 20:37:33,15,11544
2012/11/01 20:37:38,16,11628
2012/11/01 20:38:03,17,11811
2012/11/01 20:38:09,18,11900
2012/11/01 20:38:10,19,11912
2012/11/01 20:38:11,20,12029
2012/11/01 20:38:25,21,12065
2012/11/01 20:38:29,22,12071
2012/11/01 20:38:33,23,12264
2012/11/01 20:39:04,24,12536
2012/11/01 20:39:08,25,12550
2012/11/01 20:39:19,26,12560
2012/11/01 20:39:27,27,12588
2012/11/01 20:39:48,28,13074
2012/11/01 20:39:49,29,15417
2012/11/01 20:39:59,30,15472
2012/11/01 20:40:10,31,15535
2012/11/01 20:40:10,32,15682
2012/11/01 20:40:49,33,15780
2012/11/01 20:40:55,34,16054
2012/11/01 20:41:01,35,16075
2012/11/01 20:41:26,36,16190
2012/11/01 20:41:41,37,16374
2012/11/01 20:41:52,38,16452
2012/11/01 20:42:07,39,16635
2012/11/01 20:42:54,40,16674
2012/11/01 20:44:09,41,17198
2012/11/01 20:44:22,42,17563
2012/11/01 20:44:41,43,17885
2012/11/01 20:44:51,44,18548
2012/11/01 20:45:00,45,18712
2012/11/01 20:45:49,46,18740
2012/11/01 20:46:03,47,18782
2012/11/01 20:46:10,48,18818
2012/11/01 20:46:38,49,18823
2012/11/01 20:47:01,50,18943
2012/11/01 20:47:10,51,18966
2012/11/01 20:48:51,52,19313
2012/11/01 20:49:10,53,19556
2012/11/01 20:49:17,54,19659
2012/11/01 20:49:46,55,19770
2012/11/01 20:50:02,56,19853
2012/11/01 20:50:08,57,19918
2012/11/01 20:50:09,58,19993
2012/11/01 20:50:11,59,20013
2012/11/01 20:50:26,60,20062
2012/11/01 20:50:33,61,20207
2012/11/01 20:51:03,62,20217
2012/11/01 20:51:12,63,20237
2012/11/01 20:51:22,64,20321
2012/11/01 20:51:23,65,20527
2012/11/01 20:51:29,66,24350
2012/11/01 20:51:34,67,24528
2012/11/01 20:51:38,68,24660
2012/11/01 20:51:46,69,24677
2012/11/01 20:52:03,70,24688
2012/11/01 20:52:22,71,24690
2012/11/01 20:52:31,72,24756
2012/11/01 20:52:41,73,24798
2012/11/01 20:52:41,74,24874
2012/11/01 20:52:50,75,24911
2012/11/01 20:52:58,76,30957
2012/11/01 20:53:22,77,30978
2012/11/01 20:53:39,78,30995
2012/11/01 20:53:45,79,31024
2012/11/01 20:53:46,80,35250
2012/11/01 20:53:50,81,35594
2012/11/01 20:53:53,82,35612
2012/11/01 20:54:07,83,35631
2012/11/01 20:54:11,84,36181
2012/11/01 20:54:21,85,36609
2012/11/01 20:54:22,86,36664
2012/11/01 20:54:33,87,36767
2012/11/01 20:54:35,88,36805
2012/11/01 20:54:45,89,37190
2012/11/01 20:54:46,90,37201
2012/11/01 20:55:28,91,37361
2012/11/01 20:55:52,92,37402
2012/11/01 20:56:06,93,37413
2012/11/01 20:56:11,94,37450
2012/11/01 20:56:20,95,37485
2012/11/01 20:57:57,96,37499
2012/11/01 20:58:02,97,37537
2012/11/01 20:58:21,98,37605
2012/11/01 20:58:32,99,39016
2012/11/01 20:58:35,100,39096
2012/11/01 20:59:53,101,39102
2012/11/01 20:59:55,102,39849
2012/11/01 21:00:11,103,39966
2012/11/01 21:00:54,104,39970
2012/11/01 21:01:10,105,45168
2012/11/01 21:01:46,106,46847
2012/11/01 21:02:05,107,46854
2012/11/01 21:03:07,108,47457
2012/11/01 21:03:23,109,49176
2012/11/01 21:03:55,110,49340
2012/11/01 21:04:02,111,49371
2012/11/01 21:04:08,112,49730
2012/11/01 21:04:14,113,51179
2012/11/01 21:04:16,114,51644
2012/11/01 21:04:28,115,54053
2012/11/01 21:04:45,116,54110
2012/11/01 21:04:47,117,54121
2012/11/01 21:05:01,118,54153
2012/11/01 21:05:47,119,54794
2012/11/01 21:06:05,120,54888
2012/11/01 21:06:21,121,54909
2012/11/01 21:07:05,122,55168
2012/11/01 21:07:32,123,55434
2012/11/01 21:08:04,124,57292
2012/11/01 21:08:12,125,57411
2012/11/01 21:08:13,126,57750
2012/11/01 21:08:15,127,57793
2012/11/01 21:08:16,128,57923
2012/11/01 21:08:24,129,57945
2012/11/01 21:08:32,130,58578
2012/11/01 21:09:10,131,59649
2012/11/01 21:09:36,132,59659
2012/11/01 21:09:58,133,59776
2012/11/01 21:10:14,134,59828
2012/11/01 21:11:04,135,60210
2012/11/01 21:11:34,136,60306
2012/11/01 21:11:38,137,60451
2012/11/01 21:11:41,138,60499
2012/11/01 21:12:13,139,60505
2012/11/01 21:12:14,140,60605
2012/11/01 21:12:43,141,61000
2012/11/01 21:12:49,142,61054
2012/11/01 21:12:49,143,61061
2012/11/01 21:13:00,144,61154
2012/11/01 21:13:06,145,61178
2012/11/01 21:13:13,146,61599
2012/11/01 21:13:16,147,62015
2012/11/01 21:13:33,148,62221
2012/11/01 21:13:54,149,62527
2012/11/01 21:14:05,150,62534
2012/11/01 21:14:26,151,62567
2012/11/01 21:14:53,152,62571
2012/11/01 21:15:38,153,62731
2012/11/01 21:15:57,154,62844
2012/11/01 21:15:59,155,63055
